id,frame_id,x,y,z,observations,best_range
4,map,0.8179,1.0278,0.2728,113,1.202
5,map,9.9986,-0.5958,0.2814,84,2.25
6,map,-3.9995,-4.0674,0.2552,40,1.394
7,map,4.7104,-5.006,0.2634,24,0.633
9,map,-0.4797,-9.8681,0.2793,55,1.873
10,map,9.4404,-10.3036,0.2679,58,1.775
